Variant Annotation ID	Variant/Haplotypes	Drug(s)	Phenotype Category	Significance	Sentence	Allele Of Frequency In Cases	Allele Of Frequency In Controls	P Value	Ratio Stat Type	Ratio Stat	Confidence Interval Start	Confidence Interval Stop
1451406173	CYP2C19 poor metabolizer and intermediate metabolizer genotypes	ibuprofen	Efficacy	no	CYP2C19 poor metabolizer and intermediate metabolizer genotypes is not associated with response to ibuprofen in people with Pain, Postoperative as compared to CYP2C19 normal metabolizer and ultrarapid metabolizer genotypes.			= 0.848				
1451406220	CYP2D6 poor metabolizer and intermediate metabolizer genotypes	ibuprofen	Efficacy	no	CYP2D6 poor metabolizer and intermediate metabolizer genotypes are not associated with response to ibuprofen in people with Pain, Postoperative as compared to CYP2D6 normal metabolizer and ultrarapid metabolizer genotypes.			= 0.454				
1451406220	CYP2D6 poor metabolizer and intermediate metabolizer genotypes	ibuprofen	Efficacy	no	CYP2D6 poor metabolizer and intermediate metabolizer genotypes are not associated with response to ibuprofen in people with Pain, Postoperative as compared to CYP2D6 normal metabolizer and ultrarapid metabolizer genotypes.			= 0.736				
1451406220	CYP2D6 poor metabolizer and intermediate metabolizer genotypes	ibuprofen	Efficacy	no	CYP2D6 poor metabolizer and intermediate metabolizer genotypes are not associated with response to ibuprofen in people with Pain, Postoperative as compared to CYP2D6 normal metabolizer and ultrarapid metabolizer genotypes.			= 0.832				
1451406220	CYP2D6 poor metabolizer and intermediate metabolizer genotypes	ibuprofen	Efficacy	no	CYP2D6 poor metabolizer and intermediate metabolizer genotypes are not associated with response to ibuprofen in people with Pain, Postoperative as compared to CYP2D6 normal metabolizer and ultrarapid metabolizer genotypes.			= 0.971				
1451406280	CYP2D6 ultrarapid metabolizer genotype	tramadol	Efficacy	no	CYP2D6 ultrarapid metabolizer genotype is associated with increased response to tramadol in people with Pain, Postoperative as compared to CYP2D6 poor metabolizer and intermediate metabolizer genotypes.			= 0.288				
1451406280	CYP2D6 ultrarapid metabolizer genotype	tramadol	Efficacy	no	CYP2D6 ultrarapid metabolizer genotype is associated with increased response to tramadol in people with Pain, Postoperative as compared to CYP2D6 poor metabolizer and intermediate metabolizer genotypes.			= 0.536				
1451406280	CYP2D6 ultrarapid metabolizer genotype	tramadol	Efficacy	no	CYP2D6 ultrarapid metabolizer genotype is associated with increased response to tramadol in people with Pain, Postoperative as compared to CYP2D6 poor metabolizer and intermediate metabolizer genotypes.			= 0.584				
1451406280	CYP2D6 ultrarapid metabolizer genotype	tramadol	Efficacy	no	CYP2D6 ultrarapid metabolizer genotype is associated with increased response to tramadol in people with Pain, Postoperative as compared to CYP2D6 poor metabolizer and intermediate metabolizer genotypes.			= 0.705				
1451406322	CYP3A5 poor metabolizer and intermediate metabolizer genotypes	tramadol	Efficacy	no	CYP3A5 poor metabolizer and intermediate metabolizer genotypes are not associated with response to tramadol in people with Pain, Postoperative as compared to CYP3A5 normal metabolizer genotype.			= 0.605				
1451406322	CYP3A5 poor metabolizer and intermediate metabolizer genotypes	tramadol	Efficacy	no	CYP3A5 poor metabolizer and intermediate metabolizer genotypes are not associated with response to tramadol in people with Pain, Postoperative as compared to CYP3A5 normal metabolizer genotype.			= 0.865				
1451406322	CYP3A5 poor metabolizer and intermediate metabolizer genotypes	tramadol	Efficacy	no	CYP3A5 poor metabolizer and intermediate metabolizer genotypes are not associated with response to tramadol in people with Pain, Postoperative as compared to CYP3A5 normal metabolizer genotype.			= 0.936				
1451406322	CYP3A5 poor metabolizer and intermediate metabolizer genotypes	tramadol	Efficacy	no	CYP3A5 poor metabolizer and intermediate metabolizer genotypes are not associated with response to tramadol in people with Pain, Postoperative as compared to CYP3A5 normal metabolizer genotype.			= 0.983				
1448423400	CYP2C19*17	citalopram	Efficacy	not stated	CYP2C19 *17/*17 is associated with decreased response to citalopram in people with Obsessive-Compulsive Disorder.				OR			
1449190044	CYP2C19*17	clozapine	Efficacy	yes	CYP2C19 *17/*17 is associated with increased response to clozapine in people with schizoaffective disorder and Schizophrenia.			= 0.042	OR	4.39		
1448308386	CYP3A5*1	tacrolimus	Efficacy	yes	CYP3A5 *1/*1 is associated with decreased response to tacrolimus in people with liver transplantation.	*1		= 0.014	OR	4.322	1.34	13.95
1184348827	TPMT poor metabolizer phenotype	mercaptopurine	Dosage	not stated	TPMT poor metabolizer phenotype is associated with decreased dose of mercaptopurine in children with Precursor Cell Lymphoblastic Leukemia-Lymphoma.				OR			
1184516660	TPMT intermediate activity	mercaptopurine	Efficacy	yes	TPMT intermediate activity phenotype is associated with increased response to mercaptopurine in children with Precursor Cell Lymphoblastic Leukemia-Lymphoma as compared to TPMT high activity phenotype.	*1		= 0.03	RR	0.3	0.1	0.88
1184747634	NAT2 slow acetylator	sulfasalazine	Other	yes	NAT2 slow acetylator is associated with increased discontinuation of sulfasalazine in people with Arthritis, Rheumatoid.			= 0.044	HR	1.74	1.01	3.21
1184747654	NAT2 slow acetylator	sulfasalazine	Efficacy	no	NAT2 slow acetylator is not associated with response to sulfasalazine in people with Arthritis, Rheumatoid.			= 0.994	OR	1.0	0.53	1.95
1448256170	CYP2D6 poor metabolizer phenotype	endoxifen	Efficacy	yes	CYP2D6 poor metabolizer phenotype is associated with decreased response to endoxifen in women with Breast Neoplasms as compared to CYP2D6 normal metabolizer and ultra-metabolizer.			= 0.046	HR	0.4	0.16	0.99
1451477260	CYP2B6*6	methadone	Toxicity	not stated	CYP2B6 *6/*6 is associated with decreased metabolism of methadone in children with Pain, Postoperative and Scoliosis.				Unknown			
1451535546	CYP2D6 poor metabolizer and intermediate metabolizer genotypes	bisoprolol	Efficacy	no	CYP2D6 poor metabolizer and intermediate metabolizer genotypes is not associated with response to bisoprolol in people with Hypertension as compared to CYP2D6 normal metabolizer genotype.							
1451725340	CYP3A4 low activity	alprazolam	Efficacy	yes	CYP3A4 low activity is associated with increased response to alprazolam in men with Alcoholism and Anxiety Disorders as compared to CYP3A4 high activity.			= 0.003				
1451727662	CYP2D6 poor metabolizers and intermediate metabolizers	primaquine	Efficacy	no	CYP2D6 poor metabolizers and intermediate metabolizers is not associated with decreased clinical benefit to primaquine in children with Malaria as compared to CYP2D6 normal metabolizer.							
1451727780	G6PD deficiency	primaquine	Efficacy	no	G6PD deficiency is not associated with decreased clinical benefit to primaquine in children with Malaria as compared to G6PD non-deficient.							
1451205840	CYP2D6 poor metabolizers and intermediate metabolizers	tramadol	Dosage	no	CYP2D6 poor metabolizers and intermediate metabolizers are not associated with dose of tramadol in people with Pain, Postoperative as compared to CYP2D6 normal metabolizers.							
1451205845	CYP2D6 poor metabolizer	tramadol	Dosage	no	CYP2D6 poor metabolizer is associated with increased response to tramadol in people with Pain, Postoperative as compared to CYP2D6 normal metabolizer and ultrarapid metabolizer.			= 0.006				
1451205862	CYP2D6 ultrarapid metabolizer	tramadol	Dosage	no	CYP2D6 ultrarapid metabolizer is not associated with dose of tramadol in people with Pain, Postoperative as compared to CYP2D6 normal metabolizers.							
1183680154	CYP2C19*1	esomeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to esomeprazole in people with Helicobacter Infections.	*1		> 0.05	OR			
1183680115	CYP2C19*1	omeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to omeprazole in people with Helicobacter Infections.	*1		= 0.109	OR			
1183680115	CYP2C19*1	omeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to omeprazole in people with Helicobacter Infections.	*1		= 0.252	OR			
1447983802	CYP2A6 normal metabolizer	varenicline	Efficacy	yes	CYP2A6 normal metabolizer is associated with increased response to varenicline in people with Tobacco Use Disorder as compared to CYP2A6 poor metabolizer.			= 0.001	OR	2.17	1.38	3.42
1447983802	CYP2A6 normal metabolizer	varenicline	Efficacy	yes	CYP2A6 normal metabolizer is associated with increased response to varenicline in people with Tobacco Use Disorder as compared to CYP2A6 poor metabolizer.			= 0.03	OR	1.81	1.05	3.11
1447983802	CYP2A6 normal metabolizer	varenicline	Efficacy	yes	CYP2A6 normal metabolizer is associated with increased response to varenicline in people with Tobacco Use Disorder as compared to CYP2A6 poor metabolizer.			= 0.51	OR	0.85	0.53	1.37
1447983802	CYP2A6 normal metabolizer	varenicline	Efficacy	yes	CYP2A6 normal metabolizer is associated with increased response to varenicline in people with Tobacco Use Disorder as compared to CYP2A6 poor metabolizer.			= 0.56	OR	1.13	0.74	1.71
981954134	CYP2C9*3	acenocoumarol	Efficacy	yes	CYP2C9 *3 is associated with increased response to acenocoumarol as compared to CYP2C9 *1.				Unknown			
1184168659	HLA-C*06:02:01:01	ustekinumab	Efficacy	yes	HLA-C *06:02:01:01 is associated with increased response to ustekinumab in people with Psoriasis.			= 0.012	OR	8.7		
1184168659	HLA-C*06:02:01:01	ustekinumab	Efficacy	yes	HLA-C *06:02:01:01 is associated with increased response to ustekinumab in people with Psoriasis.			= 0.02	OR	4.6		
1449577166	CYP2C9*3	warfarin	Dosage	not stated	CYP2C9 *3 is associated with dose of warfarin in people with Atrial Fibrillation, Pulmonary Embolism, Stroke and Venous Thrombosis.				OR			
1449577192	CYP2C9*3	warfarin	Dosage	not stated	CYP2C9 *3 is associated with dose of warfarin.				OR			
1184168621	HLA-C*06:02:01:01	ustekinumab	Efficacy	yes	HLA-C *06:02:01:01 is associated with increased response to ustekinumab in people with Psoriasis.			< 0.008	OR	13.4	1.6	12.6
1184168621	HLA-C*06:02:01:01	ustekinumab	Efficacy	yes	HLA-C *06:02:01:01 is associated with increased response to ustekinumab in people with Psoriasis.			= 0.014	OR	3.9	2.0	7.37
1184168621	HLA-C*06:02:01:01	ustekinumab	Efficacy	yes	HLA-C *06:02:01:01 is associated with increased response to ustekinumab in people with Psoriasis.			= 0.016	OR	4.0	1.1	8.8
1184168621	HLA-C*06:02:01:01	ustekinumab	Efficacy	yes	HLA-C *06:02:01:01 is associated with increased response to ustekinumab in people with Psoriasis.			= 0.022	OR	12.2	1.4	10.4
1448265498	CYP2C9*3	phenytoin	Dosage	yes	CYP2C9 *3 is associated with dose of phenytoin in children with Epilepsy.			< 0.001	OR			
1446904991	CYP2D6 poor metabolizers	desipramine	Dosage	not stated	CYP2D6 poor metabolizers are associated with decreased dose of desipramine in people with Depressive Disorder, Major as compared to CYP2D6 normal metabolizers.				OR			
1448624911	CYP2C19 poor metabolizer genotype	venlafaxine	Efficacy	no	CYP2C19 poor metabolizer genotype is associated with increased response to venlafaxine in people with Depression.				OR			
1448624903	CYP2D6 ultrarapid metabolizer genotype	venlafaxine	Efficacy	no	CYP2D6 ultra-metabolizer genotype is not associated with response to venlafaxine in people with Depression as compared to CYP2D6 poor metabolizer and intermediate metabolizer genotypes.				OR			
1446904580	CYP2D6 poor metabolizers	nortriptyline	Dosage	no	CYP2D6 poor metabolizers are not associated with dose of nortriptyline in people with Depressive Disorder, Major as compared to CYP2D6 normal metabolizers.				OR			
1184759874	HLA-B*58:01	allopurinol	Toxicity	yes	HLA-B *58:01 is associated with response to allopurinol.			< 0.05	OR			
1449296254	CYP2C19*2	clopidogrel	Efficacy	yes	CYP2C19 *2 is associated with decreased response to clopidogrel.			= 5.1E-40	OR			
1448267453	CYP3A5*3	tacrolimus	Dosage	no	CYP3A5 *3 is not associated with dose of tacrolimus in people with Kidney Transplantation.	*1		= 0.79	OR			
1450820529	CYP2A6 high activity	nicotine	Efficacy	yes	CYP2A6 high activity is associated with increased response to nicotine in people with Tobacco Use Disorder as compared to CYP2A6 low activity.			= 4.41E-6	HR	0.5	0.38	0.68
1450820529	CYP2A6 high activity	nicotine	Efficacy	yes	CYP2A6 high activity is associated with increased response to nicotine in people with Tobacco Use Disorder as compared to CYP2A6 low activity.			= 0.75	HR	0.93	0.59	1.46
1450820537	CYP2A6 high activity	bupropion	Efficacy	no	CYP2A6 high activity is not associated with response to bupropion in people with Tobacco Use Disorder as compared to CYP2A6 low activity.			= 0.022	HR	0.76	0.6	0.96
1450935426	G6PD deficiency	daunorubicin	Efficacy	no	G6PD deficiency is not associated with response to daunorubicin in children with Precursor Cell Lymphoblastic Leukemia-Lymphoma.			> 0.73				
1450935426	G6PD deficiency	daunorubicin	Efficacy	no	G6PD deficiency is not associated with response to daunorubicin in children with Precursor Cell Lymphoblastic Leukemia-Lymphoma.			= 0.78				
982032876	CYP2C9*2	acenocoumarol	Dosage	no	CYP2C9 *2 is not associated with decreased dose of acenocoumarol as compared to CYP2C9 *1/*1.			= 0.84	Unknown			
1449002962	CYP2D6 normal metabolizer phenotype	oxycodone	Dosage	no	CYP2D6 normal metabolizer phenotype is not associated with dose of oxycodone in people with Neoplasms as compared to CYP2D6 intermediate metabolizer phenotype.			= 1	OR			
1449576707	CYP2D6 poor metabolizer genotype	tamsulosin	Efficacy	yes	CYP2D6 poor metabolizer genotype is associated with increased response to tamsulosin in healthy individuals as compared to CYP2D6 intermediate metabolizer and normal metabolizer.			= 0.026	OR			
1449576707	CYP2D6 poor metabolizer genotype	tamsulosin	Efficacy	yes	CYP2D6 poor metabolizer genotype is associated with increased response to tamsulosin in healthy individuals as compared to CYP2D6 intermediate metabolizer and normal metabolizer.			= 0.026	OR			
1449576707	CYP2D6 poor metabolizer genotype	tamsulosin	Efficacy	yes	CYP2D6 poor metabolizer genotype is associated with increased response to tamsulosin in healthy individuals as compared to CYP2D6 intermediate metabolizer and normal metabolizer.			= 0.026	OR			
1449576707	CYP2D6 poor metabolizer genotype	tamsulosin	Efficacy	yes	CYP2D6 poor metabolizer genotype is associated with increased response to tamsulosin in healthy individuals as compared to CYP2D6 intermediate metabolizer and normal metabolizer.			= 0.034	OR			
1449576707	CYP2D6 poor metabolizer genotype	tamsulosin	Efficacy	yes	CYP2D6 poor metabolizer genotype is associated with increased response to tamsulosin in healthy individuals as compared to CYP2D6 intermediate metabolizer and normal metabolizer.			= 0.034	OR			
1449576707	CYP2D6 poor metabolizer genotype	tamsulosin	Efficacy	yes	CYP2D6 poor metabolizer genotype is associated with increased response to tamsulosin in healthy individuals as compared to CYP2D6 intermediate metabolizer and normal metabolizer.			= 0.034	OR			
1450809758	CYP2C19 poor metabolizers	rabeprazole	Efficacy	no	CYP2C19 poor metabolizers are not associated with response to rabeprazole in people with Helicobacter Infections as compared to CYP2C19 normal metabolizers.				OR			
1183623689	CYP2C19*1	esomeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to esomeprazole in people with Helicobacter Infections.	*1		= 0.216	Unknown			
1183689724	CYP2D6 poor metabolizer	tolterodine	Efficacy	no	CYP2D6 poor metabolizer is not associated with response to tolterodine in healthy individuals as compared to CYP2D6 normal metabolizer.				OR			
1183624342	CYP2C19*1	rabeprazole	Efficacy	no	CYP2C19 *1/*1 is not associated with response to rabeprazole in people with Helicobacter Infections.	*1			Unknown			
1183690095	CYP2C19 poor metabolizer genotype	warfarin	Efficacy	no	CYP2C19 poor metabolizer genotype is not associated with increased response to warfarin as compared to CYP2C19 normal metabolizer genotype.	*1	*1	< 0.001	OR			
1451351660	CYP2D6 normal metabolizers	codeine	Efficacy	not stated	CYP2D6 normal metabolizers are associated with increased response to codeine in people with Pain as compared to CYP2D6 poor metabolizers and intermediate metabolizers.							
1451351665	CYP2D6 normal metabolizers	codeine	Efficacy	not stated	CYP2D6 normal metabolizers are associated with increased response to codeine in people with Pain as compared to CYP2D6 ultrarapid metabolizer.							
1184509840	SLC6A4 HTTLPR short form (S allele)	fluvoxamine	Efficacy	yes	SLC6A4 HTTLPR short form (S allele) is associated with increased response to fluvoxamine in people with Depressive Disorder, Major.			= 0.010	OR			
982006752	CYP2C9*2	acenocoumarol	Dosage	no	CYP2C9 *2 is not associated with decreased dose of acenocoumarol as compared to CYP2C9 *1.	*2		= 0.36	Unknown			
1451155681	CYP2D6 poor metabolizer phenotype	amitriptyline	Efficacy	yes	CYP2D6 poor metabolizer phenotype is associated with decreased response to amitriptyline in people with Phantom limb syndrome as compared to CYP2D6 normal metabolizer phenotype.			< 0.01				
1447944067	EPHX1 poor metabolizer	acetylcysteine	Efficacy	yes	EPHX1 poor metabolizer is associated with increased response to acetylcysteine in people with Pulmonary Disease, Chronic Obstructive as compared to genotype fast/normal (assigned as intermediate metabolizer and normal metabolizer phenotype) .			< 0.001	OR			
981940067	CYP2C9*2	acenocoumarol	Dosage	no	CYP2C9 *2 is not associated with decreased dose of acenocoumarol as compared to CYP2C9 *1.	*2		= 0.3	Unknown			
981940181	CYP2C9*5	acenocoumarol	Efficacy	no	CYP2C9 *5 is not associated with increased response to acenocoumarol as compared to CYP2C9 *1.	*5			Unknown			
981940163	CYP2C9*8	acenocoumarol	Efficacy	no	CYP2C9 *8 is not associated with increased response to acenocoumarol as compared to CYP2C9 *1.	*8			Unknown			
1450415150	CYP2D6 poor metabolizers	metoprolol	Dosage	yes	CYP2D6 poor metabolizers are associated with decreased dose of metoprolol.			= 0.019	OR			
1450415269	CYP2C9*3	acenocoumarol	Dosage	no	CYP2C9 *3/*3 is associated with decreased dose of acenocoumarol.				OR			
1183622426	CYP2C19*1	famotidine	Efficacy	no	CYP2C19 *1/*1 is not associated with response to famotidine in healthy individuals.	*1		= 0.05	Unknown			
