Variant Annotation ID	Variant/Haplotypes	Drug(s)	Phenotype Category	Significance	Sentence	Allele Of Frequency In Cases	Allele Of Frequency In Controls	P Value	Ratio Stat Type	Ratio Stat	Confidence Interval Start	Confidence Interval Stop
1451161371	CYP2D6*1, CYP2D6*2, CYP2D6*2xN	methadone	Efficacy	yes	CYP2D6 *1/*2xN + *2/*2xN are associated with increased response to methadone in people with Opioid-Related Disorders as compared to CYP2D6 *1/*1.			= 0.032				
1451161472	CYP2D6*1, CYP2D6*2, CYP2D6*2xN	methadone	Dosage	yes	CYP2D6 *1/*2xN + *2/*2xN (assigned as ultrarapid metabolizer phenotype) are associated with increased dose of methadone in people with Opioid-Related Disorders as compared to CYP2D6 normal metabolizer genotype.			= 0.043				
1451161540	CYP2D6*1, CYP2D6*2, CYP2D6*2xN	methadone	Metabolism/PK	yes	CYP2D6 *1/*2xN + *2/*2xN (assigned as ultrarapid metabolizer phenotype) are associated with increased concentrations of methadone in people with Opioid-Related Disorders as compared to CYP2D6 normal metabolizer genotype.			= 0.002				
1451153754	CYP2D6*1, CYP2D6*1xN, CYP2D6*3, CYP2D6*4, CYP2D6*6	methadone	Efficacy	no	CYP2D6 *1/*1xN is associated with decreased response to methadone in people with Heroin Dependence as compared to CYP2D6 *3/*4 + *4/*4 + *4/*6 (assigned as poor metabolizer genotype phenotype) .			= 0.103				
1451161360	CYP3A5*1, CYP3A5*3	methadone	Efficacy	no	CYP3A5 *3/*3 is not associated with response to methadone in people with Opioid-Related Disorders as compared to CYP3A5 *1/*1 + *1/*3.			= 1				
1451161620	CYP3A5*1, CYP3A5*3	methadone	Dosage	no	CYP3A5 *3/*3 is not associated with dose of methadone in people with Opioid-Related Disorders as compared to CYP3A5 *1/*1 + *1/*3.			= 0.312				
1184989377	CYP2C9*1, CYP2C9*3	phenytoin	Dosage	no	CYP2C9 *3 is not associated with dose of phenytoin in people with severe cutaneous adverse reactions as compared to CYP2C9 *1/*1.			> 0.05	OR			
1448994156	CYP2C9*1, CYP2C9*3	phenytoin	Metabolism/PK	yes	CYP2C9 *1/*3 is associated with increased concentrations of phenytoin in people with Epilepsy as compared to CYP2C9 *1/*1.	*3		= 0.01	OR			
1184989363	CYP2C9*1, CYP2C9*3	phenytoin	Metabolism/PK	yes	CYP2C9 *3 is associated with increased concentrations of phenytoin in people with severe cutaneous adverse reactions as compared to CYP2C9 *1/*1.			= 0.022	OR			
1445388514	CYP2C9*1, CYP2C9*2	phenytoin	Metabolism/PK	no	CYP2C9 *1/*1 + *1/*2 are not associated with dose-adjusted trough concentrations of phenytoin in people with Epilepsy.	*2		> 0.05	OR			
1451162800	UGT1A1*1, UGT1A1*28	raloxifene 6-glucuronide,raloxifene-4′-glucuronide	Metabolism/PK	yes	UGT1A1 *28/*28 is associated with increased concentrations of raloxifene 6-glucuronide and raloxifene-4′-glucuronide in women with Osteoporosis as compared to UGT1A1 *1/*1 + *1/*28.			= 0.012	Unknown			
1451162800	UGT1A1*1, UGT1A1*28	raloxifene 6-glucuronide,raloxifene-4′-glucuronide	Metabolism/PK	yes	UGT1A1 *28/*28 is associated with increased concentrations of raloxifene 6-glucuronide and raloxifene-4′-glucuronide in women with Osteoporosis as compared to UGT1A1 *1/*1 + *1/*28.			= 0.021	Unknown			
1451162800	UGT1A1*1, UGT1A1*28	raloxifene 6-glucuronide,raloxifene-4′-glucuronide	Metabolism/PK	yes	UGT1A1 *28/*28 is associated with increased concentrations of raloxifene 6-glucuronide and raloxifene-4′-glucuronide in women with Osteoporosis as compared to UGT1A1 *1/*1 + *1/*28.			= 0.025	Unknown			
1451162940	CYP2A6*1A, CYP2A6*2, CYP2A6*9, CYP2A6*17	nicotine	Metabolism/PK	yes	CYP2A6 *1A/*2 + *1A/*9 + *1A/*17 (assigned as reduced metabolizers phenotype) are associated with decreased metabolism of nicotine in healthy individuals as compared to CYP2A6 *1A/*1A (assigned as normal metabolizers phenotype) .			< 0.05				
1451154280	CYP2D6*1, CYP2D6*4, CYP2D6*5, CYP2D6*9, CYP2D6*10, CYP2D6*17	tramadol	Metabolism/PK	yes	CYP2D6 *1/*4 + *1/*5 + *1/*9 + *1/*10 + *4/*10 + *5/*10 + *10/*10 + *10/*17 are associated with decreased clearance of tramadol as compared to CYP2D6 *1/*1.			= 0.018				
1451162952	CYP2A6*1A, CYP2A6*2, CYP2A6*9, CYP2A6*17	metronidazole	Metabolism/PK	yes	CYP2A6 *1A/*2 + *1A/*9 + *1A/*17 (assigned as reduced metabolizers phenotype) are associated with decreased metabolism of metronidazole in healthy individuals as compared to CYP2A6 *1A/*1A (assigned as normal metabolizers phenotype) .			< 0.01				
1451206740	UGT1A1*1, UGT1A1*28	irinotecan	Dosage	no	UGT1A1 *1/*28 + *28/*28 are not associated with dose of irinotecan in people with Colorectal Neoplasms as compared to UGT1A1 *1/*1.	(TA)6		= 0.25	Unknown			
1451206740	UGT1A1*1, UGT1A1*28	irinotecan	Dosage	no	UGT1A1 *1/*28 + *28/*28 are not associated with dose of irinotecan in people with Colorectal Neoplasms as compared to UGT1A1 *1/*1.	(TA)6		= 0.45	Unknown			
1451206740	UGT1A1*1, UGT1A1*28	irinotecan	Dosage	no	UGT1A1 *1/*28 + *28/*28 are not associated with dose of irinotecan in people with Colorectal Neoplasms as compared to UGT1A1 *1/*1.	(TA)6		= 0.51	Unknown			
1451206740	UGT1A1*1, UGT1A1*28	irinotecan	Dosage	no	UGT1A1 *1/*28 + *28/*28 are not associated with dose of irinotecan in people with Colorectal Neoplasms as compared to UGT1A1 *1/*1.	(TA)6		= 0.62	Unknown			
1451164240	UGT1A1*1, UGT1A1*28	atazanavir	Metabolism/PK	no	UGT1A1 *28 is not associated with concentrations of atazanavir in people with HIV Infections as compared to UGT1A1 *1.			= 0.98	OR			
1451155780	CYP2D6*1, CYP2D6*4, CYP2D6*6	tramadol	Metabolism/PK	yes	CYP2D6 *4/*4 + *4/*6 are associated with decreased metabolism of tramadol in healthy individuals as compared to CYP2D6 *1/*1.			< 0.02				
1451207688	UGT1A1*1, UGT1A1*28	irinotecan	Dosage	yes	UGT1A1 *1/*28 + *28/*28 are associated with decreased dose of irinotecan in people with Colorectal Neoplasms as compared to UGT1A1 *1/*1.	(TA)6		< 0.01	Unknown			
1451207780	CYP3A5*1, CYP3A5*3	Dabigatran	Metabolism/PK	yes	CYP3A5 *1/*1 is associated with decreased exposure to Dabigatran in healthy individuals as compared to CYP3A5 *1/*3 + *3/*3.			= 0.03				
1451156440	CYP2D6*1, CYP2D6*3, CYP2D6*4	methadone	Metabolism/PK	no	CYP2D6 *3/*4 + *4/*4 are not associated with concentrations of methadone as compared to CYP2D6 *1/*1 + *1/*3 + *1/*4.							
1451207940	CYP2D6*1, CYP2D6*1xN, CYP2D6*4, CYP2D6*41	tramadol	Metabolism/PK	no	CYP2D6 *1/*1xN (assigned as ultrarapid metabolizer phenotype) is associated with increased clearance of tramadol in healthy individuals as compared to CYP2D6 *1/*1 + *1/*4 + *1/*41 (assigned as normal metabolizer phenotype) .							
1451156500	CYP2B6*1, CYP2B6*5, CYP2B6*6, CYP2B6*7	(S)-methadone	Metabolism/PK	yes	CYP2B6 *6/*6 is associated with increased concentrations of (S)-methadone as compared to CYP2B6 *1/*1 + *1/*5 + *1/*6 + *1/*7.			= 0.034				
1451156620	CYP2D6*1, CYP2D6*1xN, CYP2D6*2, CYP2D6*4	tramadol	Metabolism/PK	not stated	CYP2D6 *1/*1xN is associated with decreased concentrations of tramadol in healthy individuals as compared to CYP2D6 *1/*2 + *2/*4.							
1451208380	CYP2D6*1, CYP2D6*3, CYP2D6*4, CYP2D6*6, CYP2D6*10	o-desmethyltramadol	Metabolism/PK	not stated	CYP2D6 *3/*4 + *4/*4 (assigned as poor metabolizer phenotype) are associated with decreased concentrations of o-desmethyltramadol as compared to CYP2D6 *1/*1 + *1/*4 + *1/*6 + *1/*10 + *4/*10 + *10/*10.							
1451339940	CYP2C9*1, CYP2C9*2	warfarin	Dosage	yes	CYP2C9 *1/*2 is associated with decreased dose of warfarin as compared to CYP2C9 *1/*1.							
1451156680	CYP2D6*2, CYP2D6*2xN	codeine	Metabolism/PK	not stated	CYP2D6 *2/*2xN is associated with increased metabolism of codeine in women.							
1451343120	CYP2C19*1, CYP2C19*2	rabeprazole	Efficacy	no	CYP2C19 *1/*1 + *1/*2 are not associated with response to rabeprazole in people with Peptic Ulcer as compared to CYP2C19 *2/*2.			= 0.961				
1451343120	CYP2C19*1, CYP2C19*2	rabeprazole	Efficacy	no	CYP2C19 *1/*1 + *1/*2 are not associated with response to rabeprazole in people with Peptic Ulcer as compared to CYP2C19 *2/*2.			= 0.987				
1451340000	CYP2C9*1, CYP2C9*3	warfarin	Dosage	yes	CYP2C9 *1/*3 is associated with decreased dose of warfarin as compared to CYP2C9 *1/*1.							
1451340007	CYP2C9*1, CYP2C9*5	warfarin	Dosage	yes	CYP2C9 *1/*5 is associated with decreased dose of warfarin as compared to CYP2C9 *1/*1.							
1451340040	CYP2C9*1, CYP2C9*11	warfarin	Dosage	yes	CYP2C9 *1/*11 is associated with decreased dose of warfarin as compared to CYP2C9 *1/*1.							
1451157920	CYP2D6*1, CYP2D6*3, CYP2D6*4, CYP2D6*6, CYP2D6*9	tramadol	Metabolism/PK	yes	CYP2D6 *4/*4 (assigned as poor metabolizer genotype phenotype) is associated with decreased metabolism of tramadol as compared to CYP2D6 *1/*1 + *1/*3 + *1/*4 + *1/*6 + *1/*9 + *4/*9 (assigned as normal metabolizer genotype phenotype) .			= 0.02				
1451157968	CYP2D6*1, CYP2D6*3, CYP2D6*4, CYP2D6*6, CYP2D6*9	tramadol	Dosage	no	CYP2D6 *4/*4 (assigned as poor metabolizer genotype phenotype) is not associated with dose of tramadol as compared to CYP2D6 *1/*1 + *1/*3 + *1/*4 + *1/*6 + *1/*9 + *4/*9 (assigned as normal metabolizer genotype phenotype) .							
1451343340	CYP2C19*1, CYP2C19*2, CYP2C19*3	rabeprazole	Efficacy	no	CYP2C19 *2 + *3 are not associated with response to rabeprazole in people with Ulcer as compared to CYP2C19 *1.			> 0.05				
1451340220	UGT1A3*1, UGT1A3*2	telmisartan	Metabolism/PK	yes	UGT1A3 *2 is associated with decreased concentrations of telmisartan in healthy individuals as compared to UGT1A3 *1/*1.			= 3.83e-22				
1451208948	UGT1A1*1, UGT1A1*28	SN-38	Metabolism/PK	yes	UGT1A1 *28/*28 is associated with decreased metabolism of SN-38 in people with Neoplasms as compared to UGT1A1 *1/*1 + *1/*28.			= 0.03	Unknown			
1451208980	UGT1A1*1, UGT1A1*28	bilirubin	Other	yes	UGT1A1 *28/*28 is associated with increased bilirubin in people with Neoplasms as compared to UGT1A1 *1/*1.			= 3.0E-4	Unknown			
1451344540	CYP2C19*1, CYP2C19*2, CYP2C19*3	rabeprazole	Efficacy	no	CYP2C19 *2 + *3 are not associated with response to rabeprazole in people with Helicobacter Infections as compared to CYP2C19 *1/*1.							
1451344540	CYP2C19*1, CYP2C19*2, CYP2C19*3	rabeprazole	Efficacy	no	CYP2C19 *2 + *3 are not associated with response to rabeprazole in people with Helicobacter Infections as compared to CYP2C19 *1/*1.							
1451344548	CYP2C19*1, CYP2C19*2, CYP2C19*3	rabeprazole	Efficacy	no	CYP2C19 *2 + *3 are not associated with response to rabeprazole in people with Helicobacter Infections as compared to CYP2C19 *1/*1.							
1451344650	CYP2C19*1, CYP2C19*2, CYP2C19*3	esomeprazole,rabeprazole	Efficacy	no	CYP2C19 *2 + *3 are not associated with response to esomeprazole or rabeprazole in people with Helicobacter Infections as compared to CYP2C19 *1/*1.							
1451344650	CYP2C19*1, CYP2C19*2, CYP2C19*3	esomeprazole,rabeprazole	Efficacy	no	CYP2C19 *2 + *3 are not associated with response to esomeprazole or rabeprazole in people with Helicobacter Infections as compared to CYP2C19 *1/*1.							
1451209187	UGT1A1*1, UGT1A1*28	SN-38	Metabolism/PK	yes	UGT1A1 *1/*28 + *28/*28 are associated with decreased metabolism of SN-38 in people with Neoplasms as compared to UGT1A1 *1/*1.	7		= 0.001	Unknown			
1451344640	CYP2C19*1, CYP2C19*2, CYP2C19*3	rabeprazole	Efficacy	no	CYP2C19 *2 + *3 are not associated with response to rabeprazole in people with Helicobacter Infections as compared to CYP2C19 *1.							
1451344680	CYP2C19*1, CYP2C19*2, CYP2C19*3	rabeprazole	Efficacy	no	CYP2C19 *2 + *3 are not associated with response to rabeprazole in people with Helicobacter Infections as compared to CYP2C19 *1/*1.							
1451209365	UGT1A1*1, UGT1A1*28	carvedilol	Metabolism/PK	yes	UGT1A1 *28 is associated with increased metabolism of carvedilol in people with Angina Pectoris as compared to UGT1A1 *1.			< 0.05	Unknown			
1451209820	UGT1A1*1, UGT1A1*28	cisplatin,irinotecan	Efficacy	no	UGT1A1 *1/*28 is not associated with response to cisplatin and irinotecan in people with Carcinoma, Non-Small-Cell Lung as compared to UGT1A1 *1/*1.	(TA)6		= 0.531	OR			
1451209847	UGT1A1*1, UGT1A1*28	irinotecan	Dosage	no	UGT1A1 *1/*28 is not associated with dose of irinotecan in people with Carcinoma, Non-Small-Cell Lung as compared to UGT1A1 *1/*1.	(TA)6		= 0.312	Unknown			
1451346608	CYP2C19*1, CYP2C19*2, CYP2C19*3	esomeprazole	Efficacy	no	CYP2C19 *2 + *3 are not associated with response to esomeprazole in people with Helicobacter Infections as compared to CYP2C19 *1/*1.			= 0.421				
1451346700	CYP2C19*1, CYP2C19*2, CYP2C19*3	esomeprazole	Efficacy	no	CYP2C19 *2 + *3 are not associated with response to esomeprazole in people with Helicobacter Infections as compared to CYP2C19 *1/*1.			= 0.311				
1451346726	CYP2C19*1, CYP2C19*2, CYP2C19*3	esomeprazole	Efficacy	no	CYP2C19 *2 + *3 are not associated with response to esomeprazole in people with Helicobacter Infections as compared to CYP2C19 *1/*1.			= 0.974				
1451159180	CYP2D6*1, CYP2D6*1xN, CYP2D6*4, CYP2D6*41	oxycodone	Metabolism/PK	no	CYP2D6 *1/*1xN is associated with decreased exposure to oxycodone in healthy individuals as compared to CYP2D6 *1/*1 + *1/*4 + *1/*41.							
1451211740	UGT1A1*1, UGT1A1*28	axitinib	Metabolism/PK	no	UGT1A1 *28 is not associated with metabolism of axitinib in healthy individuals as compared to UGT1A1 *1.			= 1	OR			
1451212381	UGT1A1*1, UGT1A1*28, UGT1A1*37	carvedilol,metoprolol	Efficacy	no	UGT1A1 *28/*28 is not associated with increased response to carvedilol or metoprolol in people with Heart Failure as compared to UGT1A1 *1/*1 + *1/*28 + *1/*37.			= 0.21	Unknown			
1451212360	UGT1A1*1, UGT1A1*28, UGT1A1*37	carvedilol,metoprolol	Dosage	no	UGT1A1 *28/*28 is not associated with dose of carvedilol or metoprolol in people with Heart Failure as compared to UGT1A1 *1/*1 + *1/*28 + *1/*37.			= 0.58	Unknown			
1451212360	UGT1A1*1, UGT1A1*28, UGT1A1*37	carvedilol,metoprolol	Dosage	no	UGT1A1 *28/*28 is not associated with dose of carvedilol or metoprolol in people with Heart Failure as compared to UGT1A1 *1/*1 + *1/*28 + *1/*37.			= 0.6	Unknown			
1451213020	UGT1A1*1, UGT1A1*28	FOLFIRI	Dosage	no	UGT1A1 *1/*1 + *1/*28 is associated with increased dose of FOLFIRI in people with Colorectal Neoplasms as compared to UGT1A1 *28/*28.	7/7						
1451213120	UGT1A1*1, UGT1A1*28	SN-38	Metabolism/PK	yes	UGT1A1 *28 is associated with increased concentrations of SN-38 in people with Colonic Neoplasms as compared to UGT1A1 *1.	(TA)7		= 1.9E-4	OR			
1451213340	UGT1A1*1, UGT1A1*28	irinotecan	Efficacy	no	UGT1A1 *1/*28 + *28/*28 is not associated with increased response to irinotecan in people with Lung Neoplasms as compared to UGT1A1 *1/*1.			= 0.91	OR	1.03	0.59	1.82
1451213545	UGT1A1*1, UGT1A1*28	letermovir	Metabolism/PK	no	UGT1A1 *1/*28 + *28/*28 is not associated with increased exposure to letermovir as compared to UGT1A1 *1/*1.			= 0.419				
1451213721	UGT1A1*1, UGT1A1*28	tipifarnib	Metabolism/PK	no	UGT1A1 *28 is not associated with increased metabolism of tipifarnib in people with Neoplasms as compared to UGT1A1 *1.			= 0.79	Unknown			
1451352842	SLCO1B1*1, SLCO1B1*15	atorvastatin	Metabolism/PK	yes	SLCO1B1 *15 is associated with increased concentrations of atorvastatin in healthy individuals as compared to SLCO1B1 *1/*1.			= 0.026				
1451213915	UGT1A1*1, UGT1A1*28	irinotecan	Efficacy	no	UGT1A1 *1/*28 + *28/*28 is not associated with decreased response to irinotecan in people with Neoplasms as compared to UGT1A1 *1/*1.			= 0.7	OR	1.12	0.62	2.02
1451213915	UGT1A1*1, UGT1A1*28	irinotecan	Efficacy	no	UGT1A1 *1/*28 + *28/*28 is not associated with decreased response to irinotecan in people with Neoplasms as compared to UGT1A1 *1/*1.			= 0.9	OR	0.98	0.77	1.25
1451214031	UGT1A1*1, UGT1A1*28	FOLFIRI,irinotecan	Efficacy	no	UGT1A1 *28 is not associated with increased response to FOLFIRI or irinotecan in people with Colorectal Neoplasms as compared to UGT1A1 *1.			= 0.286	OR			
1451214031	UGT1A1*1, UGT1A1*28	FOLFIRI,irinotecan	Efficacy	no	UGT1A1 *28 is not associated with increased response to FOLFIRI or irinotecan in people with Colorectal Neoplasms as compared to UGT1A1 *1.			= 0.578	OR			
1451214044	UGT1A1*1, UGT1A1*28	warfarin	Dosage	yes	UGT1A1 *1/*28 + *28/*28 is associated with increased dose of warfarin in people with Thromboembolism as compared to UGT1A1 *1/*1.			= 0.029	OR	1.83	0.63	5.4
1183699846	CYP3A5*1, CYP3A5*6	tacrolimus	Metabolism/PK	yes	CYP3A5 *6 is associated with increased dose-adjusted trough concentrations of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *1.			= 6.12E-8	OR			
1184515509	CYP3A5*1, CYP3A5*3	tacrolimus	Metabolism/PK	yes	CYP3A5 *3 is associated with increased dose-adjusted trough concentrations of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *1.			= 6.12E-8	OR			
1183699855	CYP3A5*1, CYP3A5*7	tacrolimus	Metabolism/PK	yes	CYP3A5 *7 is associated with increased dose-adjusted trough concentrations of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *1.			= 6.12E-8	OR			
1183699824	CYP3A4*1, CYP3A4*22	tacrolimus	Metabolism/PK	no	CYP3A4 *22 is not associated with dose-adjusted trough concentrations of tacrolimus in people with Kidney Transplantation as compared to CYP3A4 *1.			= 0.34	OR			
1447674199	CYP3A5*1, CYP3A5*3	tacrolimus	Metabolism/PK	yes	CYP3A5 *1/*1 + *1/*3 is associated with increased dose of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *3/*3.	*1		< 0.001	OR			
1447947417	CYP3A5*1, CYP3A5*3	tacrolimus	Dosage	yes	CYP3A5 *1/*1 is associated with increased dose of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *1/*3 + *3/*3.	*1		< 0.01	OR			
1184514878	CYP3A5*1, CYP3A5*3	tacrolimus	Dosage	yes	CYP3A5 *1/*1 + *1/*3 is associated with increased dose of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *3/*3.	*3		< 0.001	OR			
1184514878	CYP3A5*1, CYP3A5*3	tacrolimus	Dosage	yes	CYP3A5 *1/*1 + *1/*3 is associated with increased dose of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *3/*3.	*3		< 0.001	OR			
1184514878	CYP3A5*1, CYP3A5*3	tacrolimus	Dosage	yes	CYP3A5 *1/*1 + *1/*3 is associated with increased dose of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *3/*3.	*3		< 0.001	OR			
1184514878	CYP3A5*1, CYP3A5*3	tacrolimus	Dosage	yes	CYP3A5 *1/*1 + *1/*3 is associated with increased dose of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *3/*3.	*3		= 0.01	OR			
1184514921	CYP3A5*1, CYP3A5*3	tacrolimus	Dosage	yes	CYP3A5 *3/*3 is associated with decreased dose of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *1/*1 + *1/*3.			< 0.0001	OR			
1449750413	CYP3A5*1, CYP3A5*3	tacrolimus	Metabolism/PK	yes	CYP3A5 *1/*1 + *1/*3 is associated with increased dose of tacrolimus in children with Organ Transplantation as compared to CYP3A5 *3/*3.				OR			
1449747930	CYP3A5*1, CYP3A5*3	tacrolimus	Dosage	yes	CYP3A5 *3/*3 is associated with decreased dose of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *1/*1 + *1/*3.			= 0.013	OR			
1184514927	CYP3A5*1, CYP3A5*3	tacrolimus	Dosage	not stated	CYP3A5 *1/*1 + *1/*3 is associated with increased dose of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *3/*3.				OR			
1447946747	CYP3A5*1, CYP3A5*3	tacrolimus	Dosage	yes	CYP3A5 *1/*1 + *1/*3 is associated with increased dose of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *3/*3.	*1		= 0.003	OR			
1447946747	CYP3A5*1, CYP3A5*3	tacrolimus	Dosage	yes	CYP3A5 *1/*1 + *1/*3 is associated with increased dose of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *3/*3.	*1		= 0.004	OR			
1448819488	CYP3A5*1, CYP3A5*3, CYP3A5*6, CYP3A5*7	tacrolimus	Dosage	yes	CYP3A5 *1/*1 + *1/*3 + *1/*6 + *1/*7 is associated with increased dose of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *3/*3 + *3/*6 + *3/*7 + *6/*6 + *6/*7 + *7/*7.	*1		< 0.0005	OR			
1448819488	CYP3A5*1, CYP3A5*3, CYP3A5*6, CYP3A5*7	tacrolimus	Dosage	yes	CYP3A5 *1/*1 + *1/*3 + *1/*6 + *1/*7 is associated with increased dose of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *3/*3 + *3/*6 + *3/*7 + *6/*6 + *6/*7 + *7/*7.	*1		< 0.001	OR			
1184515198	CYP3A5*1, CYP3A5*3	tacrolimus	Metabolism/PK	yes	CYP3A5 *3/*3 is associated with decreased clearance of tacrolimus in healthy individuals as compared to CYP3A5 *1/*1 + *1/*3.	*3		< 0.01	OR			
1184515210	CYP3A5*1, CYP3A5*3	tacrolimus	Metabolism/PK	yes	CYP3A5 *3/*3 is associated with decreased clearance of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *1/*1 + *1/*3.	*1		< 0.001	OR			
1447520652	CYP3A5*1, CYP3A5*3	tacrolimus	Metabolism/PK	yes	CYP3A5 *1 is associated with decreased dose-adjusted trough concentrations of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *3/*3.	*3		< 0.001	OR			
1448358416	CYP3A5*1, CYP3A5*3	tacrolimus	Metabolism/PK	yes	CYP3A5 *1/*1 + *1/*3 are associated with decreased dose-adjusted trough concentrations of tacrolimus in people with Colitis, Ulcerative as compared to CYP3A5 *3/*3.	*1		< 0.05	OR			
1449183240	CYP3A5*1, CYP3A5*3	cyclosporine,tacrolimus	Metabolism/PK	no	CYP3A5 *1 is not associated with metabolism of cyclosporine or tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *3.				OR			
1449171475	CYP3A5*1, CYP3A5*3	tacrolimus	Metabolism/PK	not stated	CYP3A5 *1/*1 + *1/*3 are associated with concentrations of tacrolimus.	*1			OR			
1184515204	CYP3A5*1, CYP3A5*3	tacrolimus	Metabolism/PK	not stated	CYP3A5 *1/*1 + *1/*3 is associated with increased clearance of tacrolimus in people with Kidney Transplantation as compared to CYP3A5 *3/*3.	*1			OR			
1448260935	UGT1A1*1, UGT1A1*28, UGT1A1*60	belinostat	Dosage	not stated	UGT1A1 *28/*28 + *1/*60 + *60/*60 are associated with decreased dose of belinostat in people with Neoplasms as compared to UGT1A1 *1/*1 + *1/*28.				OR			
1451229760	CYP2B6*1, CYP2B6*6	tramadol	Metabolism/PK	not stated	CYP2B6 *6 is not associated with metabolism of tramadol in people with Neoplasms and Pain as compared to CYP2B6 *1.			> 0.05				
1451229766	CYP3A5*1, CYP3A5*3	tramadol	Metabolism/PK	not stated	CYP3A5 *3 is not associated with metabolism of tramadol in people with Neoplasms and Pain as compared to CYP3A5 *1.			> 0.05				
1451214860	UGT1A1*1, UGT1A1*28, UGT1A1*36, UGT1A1*37	moxifloxacin	Metabolism/PK	yes	UGT1A1 *1/*36 is associated with decreased clearance of moxifloxacin in people with Tuberculosis as compared to UGT1A1 *1/*1 + *1/*28 + *28/*28 + *28/*37.	*36		= 0.001	OR			
1451216440	CYP2A6*1A, CYP2A6*4C, CYP2A6*11	tegafur	Metabolism/PK	not stated	CYP2A6 *11/*4C is associated with decreased metabolism of tegafur in people with Stomach Neoplasms as compared to CYP2A6 *1A/*1A.				Unknown			
